cruise,lon,lat
EN657,-70.8806,41.0088
EN657,-70.8805,40.988
EN657,-70.8804,40.9673
EN657,-70.8784,40.9526
EN657,-70.878,40.9372
EN657,-70.882,40.9026
EN657,-70.8819,40.8679
EN657,-70.8748,40.8531
EN657,-70.8726,40.8467
EN657,-70.8743,40.8408
EN657,-70.8808,40.8308
EN657,-70.8833,40.8133
EN657,-70.8834,40.7823
EN657,-70.883,40.7386
EN657,-70.8841,40.6946
EN657,-70.8569,40.6962
EN657,-70.7999,40.6962
EN657,-70.7697,40.6971
EN657,-70.8261,40.697
EN657,-70.8826,40.6967
EN657,-70.9248,40.6984
EN657,-70.9806,40.695
EN657,-70.9669,40.6974
EN657,-70.9151,40.6946
EN657,-70.8843,40.7121
EN657,-70.8853,40.7514
EN657,-70.8855,40.7921
EN657,-70.8858,40.8332
EN657,-70.8876,40.8747
EN657,-70.8883,40.9164
EN657,-70.8875,40.9583
EN657,-70.8849,41.0006
EN657,-70.8829,41.0281
EN657,-70.8383,41.03
EN657,-70.7851,41.0306
EN657,-70.7307,41.0307
EN657,-70.6756,41.0301
EN657,-70.6705,41.0303
EN657,-70.724,41.0298
EN657,-70.7746,41.0307
EN657,-70.8133,41.03
EN657,-70.8651,41.0303
EN657,-70.9171,41.03
EN657,-70.9696,41.0298
EN657,-71.0042,41.0304
EN657,-71.0435,41.0308
EN657,-71.0966,41.0305
EN657,-71.0872,41.0311
EN657,-71.0303,41.0293
EN657,-70.9731,41.0294
EN657,-70.9155,41.0294
EN657,-70.8912,41.0306
EN657,-70.8832,41.0065
EN657,-70.8829,40.9631
EN657,-70.8878,40.9489
EN657,-70.8829,40.9425
EN657,-70.8827,40.9215
EN657,-70.8825,40.9009
EN657,-70.8829,40.8803
EN657,-70.8836,40.8593
EN657,-70.8843,40.8383
EN657,-70.8853,40.817
EN657,-70.8859,40.796
EN657,-70.8856,40.7748
EN657,-70.8856,40.7539
EN657,-70.8855,40.7332
EN657,-70.8848,40.7129
EN657,-70.8887,40.6992
EN657,-70.8882,40.7002
EN657,-70.9003,40.6948
EN657,-70.9089,40.6939
EN657,-70.9127,40.6987
EN657,-70.9097,40.6811
EN657,-70.8956,40.667
EN657,-70.8864,40.6503
EN657,-70.8862,40.6322
EN657,-70.8863,40.6133
EN657,-70.8864,40.5945
EN657,-70.8864,40.5754
EN657,-70.8854,40.5563
EN657,-70.8844,40.5366
EN657,-70.8844,40.5173
EN657,-70.8839,40.4981
EN657,-70.8848,40.4793
EN657,-70.893,40.4833
EN657,-70.8819,40.5116
EN657,-70.8917,40.5108
EN657,-70.8967,40.5072
EN657,-70.8848,40.5062
EN657,-70.8832,40.4888
EN657,-70.8817,40.4484
EN657,-70.8831,40.4063
EN657,-70.8799,40.3636
EN657,-70.8813,40.3208
EN657,-70.8803,40.2763
EN657,-70.8848,40.2319
EN657,-70.8843,40.1874
EN657,-70.8837,40.1426
EN657,-70.8833,40.0982
EN657,-70.8282,40.0982
EN657,-70.7716,40.0973
EN657,-70.8004,40.0993
EN657,-70.8575,40.0987
EN657,-70.9144,40.0984
EN657,-70.971,40.099
EN657,-70.9726,40.0977
EN657,-70.9152,40.0989
EN657,-70.8801,40.0793
EN657,-70.8803,40.038
EN657,-70.8788,39.9976
EN657,-70.8834,39.9622
EN657,-70.8767,39.9291
EN657,-70.8741,39.9235
EN657,-70.8819,39.9011
EN657,-70.8821,39.8625
EN657,-70.8822,39.8192
EN657,-70.8841,39.7764
EN657,-70.8334,39.7723
EN657,-70.7791,39.7724
EN657,-70.725,39.7721
EN657,-70.6714,39.7725
EN657,-70.6878,39.7734
EN657,-70.7464,39.7738
EN657,-70.7781,39.7731
EN657,-70.831,39.7734
EN657,-70.888,39.7732
EN657,-70.9457,39.7725
EN657,-71.0011,39.7749
EN657,-71.0591,39.774
EN657,-71.1114,39.7741
EN657,-71.0572,39.7744
EN657,-71.0015,39.7738
EN657,-70.9464,39.773
EN657,-70.8919,39.7731
EN657,-70.872,39.7642
EN657,-70.8683,39.759
EN657,-70.8663,39.7539
EN657,-70.8862,39.7792
EN657,-70.8834,39.7728
EN657,-70.8829,39.7678
EN657,-70.8823,39.7626
EN657,-70.882,39.7539
EN657,-70.882,39.7494
EN657,-70.882,39.744
EN657,-70.882,39.7395
EN657,-70.8836,39.7341
EN657,-70.885,39.7283
EN657,-70.8865,39.7225
EN657,-70.8881,39.7167
EN657,-70.8883,39.7109
EN657,-70.8884,39.7058
EN657,-70.8885,39.7007
EN657,-70.888,39.6952
EN657,-70.8875,39.69
EN657,-70.887,39.7125
EN657,-70.8859,39.7517
EN657,-70.8847,39.7646
EN657,-70.8658,39.7934
EN657,-70.841,39.8329
EN657,-70.8159,39.872
EN657,-70.791,39.9106
EN657,-70.7736,39.9427
EN657,-70.7713,39.9374
EN657,-70.7661,39.9284
EN657,-70.7777,39.9274
EN657,-70.8323,39.938
EN657,-70.8786,39.9389
EN657,-70.8811,39.9319
EN657,-70.8819,39.9135
EN657,-70.882,39.8917
EN657,-70.8825,39.8699
EN657,-70.8832,39.8482
EN657,-70.8838,39.8257
EN657,-70.8841,39.8038
EN657,-70.8847,39.7906
EN657,-70.8853,39.7831
EN657,-70.8854,39.7759
EN657,-70.886,39.7694
EN657,-70.8872,39.7628
EN657,-70.8887,39.7563
EN657,-70.8899,39.7923
EN657,-70.8914,39.8356
EN657,-70.8905,39.8785
EN657,-70.8923,39.9214
EN657,-70.8931,39.9643
EN657,-70.8909,40.0071
EN657,-70.8897,40.0498
EN657,-70.8908,40.0933
EN657,-70.88,40.1007
EN657,-70.8743,40.0971
EN657,-70.8595,40.1018
EN657,-70.8194,40.1185
EN657,-70.774,40.1351
EN657,-70.765,40.1276
EN657,-70.7585,40.1212
EN657,-70.7607,40.1124
EN657,-70.7948,40.081
EN657,-70.8179,40.0447
EN657,-70.8403,40.0071
EN657,-70.863,39.9696
EN657,-70.8829,39.9359
EN657,-70.8792,39.9355
EN657,-70.8784,39.9562
EN657,-70.8793,39.9766
EN657,-70.8813,39.9968
EN657,-70.8829,40.0176
EN657,-70.8836,40.039
EN657,-70.8838,40.0599
EN657,-70.8861,40.0802
EN657,-70.8836,40.1011
EN657,-70.8831,40.1227
EN657,-70.8829,40.1437
EN657,-70.8826,40.1653
EN657,-70.8828,40.1865
EN657,-70.883,40.2073
EN657,-70.8833,40.2282
EN657,-70.8835,40.2488
EN657,-70.8838,40.2696
EN657,-70.8839,40.2903
EN657,-70.8833,40.3111
EN657,-70.8831,40.3327
EN657,-70.8865,40.35
EN657,-70.8902,40.3629
EN657,-70.8725,40.3624
EN657,-70.8162,40.363
EN657,-70.761,40.3627
EN657,-70.7054,40.3627
EN657,-70.6576,40.3613
EN657,-70.6715,40.3619
EN657,-70.7282,40.3643
EN657,-70.783,40.3648
EN657,-70.8037,40.363
EN657,-70.8578,40.3626
EN657,-70.8935,40.3642
EN657,-70.8945,40.3737
EN657,-70.8997,40.378
EN657,-70.9047,40.3671
EN657,-70.9588,40.3637
EN657,-71.0307,40.3634
EN657,-71.0854,40.3642
EN657,-71.1116,40.3675
EN657,-71.0565,40.3649
EN657,-70.9999,40.3645
EN657,-70.9431,40.364
EN657,-70.8878,40.3644
EN657,-70.8818,40.3284
EN657,-70.884,40.2862
EN657,-70.8834,40.245
EN657,-70.8763,40.2245
EN657,-70.8699,40.2233
EN657,-70.8645,40.2232
EN657,-70.8508,40.2219
EN657,-70.8443,40.2176
EN657,-70.8616,40.2169
EN657,-70.8824,40.2305
EN657,-70.882,40.2651
EN657,-70.8829,40.3004
EN657,-70.8817,40.3318
EN657,-70.876,40.3614
EN657,-70.884,40.3873
EN657,-70.8941,40.41
EN657,-70.9049,40.4324
EN657,-70.9169,40.4542
EN657,-70.9282,40.4742
EN657,-70.937,40.489
EN657,-70.9463,40.502
EN657,-70.955,40.5156
EN657,-70.9622,40.5289
EN657,-70.9693,40.5426
EN657,-70.9763,40.5574
EN657,-70.9826,40.5724
EN657,-70.989,40.589
EN657,-70.9941,40.6011
EN657,-70.9968,40.6104
EN657,-71.0006,40.6257
EN657,-71.0048,40.6419
EN657,-71.0095,40.6606
EN657,-71.0144,40.6794
EN657,-71.0186,40.6983
EN657,-71.012,40.7177
EN657,-70.9947,40.7361
EN657,-70.9758,40.7545
EN657,-70.9585,40.7732
EN657,-70.9428,40.7912
EN657,-70.9292,40.8092
