cruise,lon,lat
EN695,-70.6255,41.2774
EN695,-70.6418,41.2675
EN695,-70.6584,41.2575
EN695,-70.6755,41.2479
EN695,-70.6936,41.2383
EN695,-70.7139,41.2282
EN695,-70.7353,41.2187
EN695,-70.7568,41.21
EN695,-70.779,41.2011
EN695,-70.8029,41.196
EN695,-70.8282,41.1948
EN695,-70.8527,41.1956
EN695,-70.8732,41.1969
EN695,-70.8809,41.2045
EN695,-70.8888,41.2096
EN695,-70.8939,41.204
EN695,-70.8905,41.2009
EN695,-70.8868,41.2009
EN695,-70.8835,41.1766
EN695,-70.8859,41.1804
EN695,-70.8888,41.1854
EN695,-70.8894,41.1902
EN695,-70.8896,41.1943
EN695,-70.8891,41.1942
EN695,-70.894,41.1764
EN695,-70.8934,41.1757
EN695,-70.8957,41.1813
EN695,-70.8904,41.1839
EN695,-70.8746,41.1813
EN695,-70.8826,41.1833
EN695,-70.8905,41.1816
EN695,-70.8982,41.1792
EN695,-70.9057,41.1775
EN695,-70.8962,41.1778
EN695,-70.895,41.185
EN695,-70.8994,41.172
EN695,-70.8945,41.1707
EN695,-70.8913,41.1722
EN695,-70.8879,41.1756
EN695,-70.8906,41.1793
EN695,-70.8873,41.172
EN695,-70.8928,41.1711
EN695,-70.8953,41.1751
EN695,-70.9012,41.1801
EN695,-70.9019,41.1838
EN695,-70.9033,41.1709
EN695,-70.9019,41.1784
EN695,-70.901,41.1864
EN695,-70.8985,41.1725
EN695,-70.8975,41.1682
EN695,-70.9016,41.177
EN695,-70.9051,41.1904
EN695,-70.9063,41.1973
EN695,-70.9058,41.2038
EN695,-70.902,41.1907
EN695,-70.899,41.1734
EN695,-70.8959,41.1691
EN695,-70.8954,41.1722
EN695,-70.8941,41.1766
EN695,-70.8904,41.1848
EN695,-70.888,41.1898
EN695,-70.8927,41.1767
EN695,-70.8927,41.1767
EN695,-70.8933,41.1688
EN695,-70.8961,41.1847
EN695,-70.8894,41.169
EN695,-70.8977,41.186
EN695,-70.8929,41.1725
EN695,-70.8894,41.177
EN695,-70.8884,41.1836
EN695,-70.8904,41.1935
EN695,-70.9065,41.2065
EN695,-70.9204,41.2188
EN695,-70.9332,41.2308
EN695,-70.9455,41.2461
EN695,-70.9584,41.2605
EN695,-70.9705,41.2747
EN695,-70.9799,41.29
EN695,-70.9895,41.3061
EN695,-71.0002,41.3219
EN695,-71.0131,41.3367
EN695,-71.0236,41.3514
EN695,-71.0332,41.3666
EN695,-71.047,41.3791
EN695,-71.0689,41.3819
EN695,-71.0903,41.3843
EN695,-71.1089,41.3859
EN695,-71.1276,41.3878
EN695,-71.1436,41.3896
EN695,-71.1562,41.3918
EN695,-71.1682,41.3937
EN695,-71.1812,41.3954
EN695,-71.1941,41.3968
EN695,-71.207,41.3984
EN695,-71.2202,41.4002
EN695,-71.2344,41.4024
EN695,-71.2476,41.4043
EN695,-71.2599,41.4063
EN695,-71.2734,41.4083
EN695,-71.2922,41.4102
EN695,-71.3191,41.4139
EN695,-71.3461,41.417
EN695,-71.3734,41.4187
EN695,-71.3956,41.4206
EN695,-71.4088,41.4217
EN695,-71.4147,41.4213
EN695,-71.4209,41.4214
EN695,-71.4155,41.4172
EN695,-71.4139,41.4222
EN695,-71.4137,41.4337
EN695,-71.4114,41.4541
EN695,-71.4081,41.4877
EN695,-71.4002,41.5196
EN695,-71.3934,41.554
EN695,-71.392,41.5721
EN695,-71.4036,41.5843
EN696,-71.4067,41.5855
EN696,-71.3914,41.5718
EN696,-71.3959,41.5377
EN696,-71.4126,41.5054
EN696,-71.4092,41.467
EN696,-71.4117,41.4296
EN696,-71.4186,41.3869
EN696,-71.4178,41.344
EN696,-71.4176,41.3016
EN696,-71.4183,41.2591
EN696,-71.4189,41.2171
EN696,-71.4193,41.1756
EN696,-71.4193,41.136
EN696,-71.4346,41.1017
EN696,-71.4622,41.0717
EN696,-71.4904,41.0422
EN696,-71.5181,41.0125
EN696,-71.5456,40.9822
EN696,-71.5741,40.9512
EN696,-71.6029,40.9196
EN696,-71.6318,40.8877
EN696,-71.6608,40.8566
EN696,-71.6896,40.8255
EN696,-71.7179,40.7944
EN696,-71.7455,40.7627
EN696,-71.7728,40.7302
EN696,-71.8008,40.697
EN696,-71.8281,40.6647
EN696,-71.8571,40.632
EN696,-71.8855,40.6
EN696,-71.9126,40.5697
EN696,-71.9403,40.5394
EN696,-71.9685,40.5087
EN696,-71.9968,40.4778
EN696,-72.025,40.4472
EN696,-72.0527,40.4167
EN696,-72.0817,40.3866
EN696,-72.111,40.3572
EN696,-72.1405,40.328
EN696,-72.1713,40.2996
EN696,-72.2019,40.2713
EN696,-72.2332,40.2425
EN696,-72.2625,40.2128
EN696,-72.2923,40.1829
EN696,-72.322,40.1529
EN696,-72.3514,40.1229
EN696,-72.3806,40.0928
EN696,-72.41,40.0625
EN696,-72.4396,40.0315
EN696,-72.4734,40.0043
EN696,-72.5105,39.9796
EN696,-72.547,39.9548
EN696,-72.5827,39.9278
